Vertex,Label,Region
1,lateraloccipital L,LO
2,lateraloccipital L,LO
3,lateraloccipital L,LO
4,lateraloccipital L,LO
5,lateraloccipital L,LO
6,lateraloccipital L,LO
7,lateraloccipital L,LO
8,lateraloccipital L,LO
9,lateraloccipital L,LO
10,lateraloccipital L,LO
11,lateraloccipital L,LO
12,lateraloccipital L,LO
13,lateraloccipital L,LO
14,lateraloccipital L,LO
15,lateraloccipital L,LO
16,lateraloccipital L,LO
17,lateraloccipital L,LO
18,lateraloccipital L,LO
19,lateraloccipital L,LO
20,lateraloccipital L,LO
21,lateraloccipital L,LO
22,lateraloccipital L,LO
23,lateraloccipital L,LO
24,lateraloccipital L,LO
25,lateraloccipital L,LO
26,lateraloccipital L,LO
27,lateraloccipital L,LO
28,lateraloccipital L,LO
29,lateraloccipital L,LO
30,lateraloccipital L,LO
31,lateraloccipital L,LO
32,lateraloccipital L,LO
33,lateraloccipital L,LO
34,lateraloccipital L,LO
35,lateraloccipital L,LO
36,lateraloccipital L,LO
37,lateraloccipital L,LO
38,lateraloccipital L,LO
39,lateraloccipital L,LO
40,lateraloccipital L,LO
41,lateraloccipital L,LO
42,lateraloccipital L,LO
43,lateraloccipital L,LO
44,lateraloccipital L,LO
45,lateraloccipital L,LO
46,lateraloccipital L,LO
47,lateraloccipital L,LO
48,lateraloccipital L,LO
49,lateraloccipital L,LO
50,superiorparietal L,LP
51,lateraloccipital L,LO
52,lateraloccipital L,LO
53,lateraloccipital L,LO
54,lateraloccipital L,LO
55,lateraloccipital L,LO
56,lateraloccipital L,LO
57,lateraloccipital L,LO
58,lateraloccipital L,LO
59,lateraloccipital L,LO
60,lateraloccipital L,LO
61,lateraloccipital L,LO
62,lateraloccipital L,LO
63,lateraloccipital L,LO
64,lateraloccipital L,LO
65,lateraloccipital L,LO
66,lateraloccipital L,LO
67,lateraloccipital L,LO
68,lateraloccipital L,LO
69,lateraloccipital L,LO
70,lateraloccipital L,LO
71,lateraloccipital L,LO
72,lateraloccipital L,LO
73,lateraloccipital L,LO
74,cuneus L,LO
75,lateraloccipital L,LO
76,lateraloccipital L,LO
77,lateraloccipital L,LO
78,pericalcarine L,LO
79,lateraloccipital L,LO
80,lateraloccipital L,LO
81,lateraloccipital L,LO
82,lateraloccipital L,LO
83,cuneus L,LO
84,superiorparietal L,LP
85,lateraloccipital L,LO
86,lateraloccipital L,LO
87,lateraloccipital L,LO
88,lingual L,LO
89,superiorparietal L,LP
90,lateraloccipital L,LO
91,lateraloccipital L,LO
92,lateraloccipital L,LO
93,lateraloccipital L,LO
94,lateraloccipital L,LO
95,lateraloccipital L,LO
96,lateraloccipital L,LO
97,lateraloccipital L,LO
98,lateraloccipital L,LO
99,lateraloccipital L,LO
100,lateraloccipital L,LO
101,lateraloccipital L,LO
102,pericalcarine L,LO
103,lingual L,LO
104,lateraloccipital L,LO
105,lingual L,LO
106,lateraloccipital L,LO
107,lateraloccipital L,LO
108,cuneus L,LO
109,lateraloccipital L,LO
110,cuneus L,LO
111,lateraloccipital L,LO
112,pericalcarine L,LO
113,cuneus L,LO
114,lateraloccipital L,LO
115,pericalcarine L,LO
116,lateraloccipital L,LO
117,lingual L,LO
118,lingual L,LO
119,lateraloccipital L,LO
120,superiorparietal L,LP
121,lateraloccipital L,LO
122,pericalcarine L,LO
123,pericalcarine L,LO
124,lateraloccipital L,LO
125,lateraloccipital L,LO
126,lateraloccipital L,LO
127,lateraloccipital L,LO
128,lateraloccipital L,LO
129,lateraloccipital L,LO
130,lingual L,LO
131,cuneus L,LO
132,pericalcarine L,LO
133,pericalcarine L,LO
134,pericalcarine L,LO
135,lateraloccipital L,LO
136,lateraloccipital L,LO
137,lateraloccipital L,LO
138,lateraloccipital L,LO
139,cuneus L,LO
140,lateraloccipital L,LO
141,lateraloccipital L,LO
142,pericalcarine L,LO
143,lateraloccipital L,LO
144,lateraloccipital L,LO
145,pericalcarine L,LO
146,lateraloccipital L,LO
147,lateraloccipital L,LO
148,lateraloccipital L,LO
149,superiorparietal L,LP
150,cuneus L,LO
151,lateraloccipital L,LO
152,lateraloccipital L,LO
153,lingual L,LO
154,lateraloccipital L,LO
155,lateraloccipital L,LO
156,lateraloccipital L,LO
157,lateraloccipital L,LO
158,pericalcarine L,LO
159,lateraloccipital L,LO
160,superiorparietal L,LP
161,lateraloccipital L,LO
162,superiorparietal L,LP
163,inferiorparietal L,LP
164,lingual L,LO
165,superiorparietal L,LP
166,superiorparietal L,LP
167,lateraloccipital L,LO
168,lateraloccipital L,LO
169,lateraloccipital L,LO
170,lateraloccipital L,LO
171,lateraloccipital L,LO
172,lingual L,LO
173,lateraloccipital L,LO
174,pericalcarine L,LO
175,lateraloccipital L,LO
176,lateraloccipital L,LO
177,superiorparietal L,LP
178,lateraloccipital L,LO
179,lateraloccipital L,LO
180,lingual L,LO
181,lingual L,LO
182,lateraloccipital L,LO
183,pericalcarine L,LO
184,lateraloccipital L,LO
185,superiorparietal L,LP
186,lateraloccipital L,LO
187,cuneus L,LO
188,lateraloccipital L,LO
189,lateraloccipital L,LO
190,pericalcarine L,LO
191,lateraloccipital L,LO
192,pericalcarine L,LO
193,lateraloccipital L,LO
194,lateraloccipital L,LO
195,inferiorparietal L,LP
196,lateraloccipital L,LO
197,superiorparietal L,LP
198,lateraloccipital L,LO
199,lateraloccipital L,LO
200,pericalcarine L,LO
201,lateraloccipital L,LO
202,superiorparietal L,LP
203,superiorparietal L,LP
204,pericalcarine L,LO
205,lateraloccipital L,LO
206,lateraloccipital L,LO
207,lateraloccipital L,LO
208,cuneus L,LO
209,lateraloccipital L,LO
210,lateraloccipital L,LO
211,inferiorparietal L,LP
212,superiorparietal L,LP
213,superiorparietal L,LP
214,pericalcarine L,LO
215,inferiorparietal L,LP
216,superiorparietal L,LP
217,lateraloccipital L,LO
218,lateraloccipital L,LO
219,lateraloccipital L,LO
220,lateraloccipital L,LO
221,lateraloccipital L,LO
222,lateraloccipital L,LO
223,lateraloccipital L,LO
224,lateraloccipital L,LO
225,inferiorparietal L,LP
226,lateraloccipital L,LO
227,lateraloccipital L,LO
228,inferiorparietal L,LP
229,lateraloccipital L,LO
230,inferiorparietal L,LP
231,lingual L,LO
232,lateraloccipital L,LO
233,lingual L,LO
234,pericalcarine L,LO
235,lateraloccipital L,LO
236,lateraloccipital L,LO
237,lateraloccipital L,LO
238,pericalcarine L,LO
239,inferiorparietal L,LP
240,lateraloccipital L,LO
